"globalid";"altura";"anio_construccion";"area_construccion";"area_privada_construida";"etiqueta";"id_caracteristicasunidadconstru";"id_operacion_predio";"planta_ubicacion";"tipo_planta";"caracteristicasuc_guid";"codigo";"identificador";"observaciones"
{F8CDE9C3-CFC3-4375-BA16-2BFC85E9B946};2;2023,0000;92,1670;; ;Dummy;"6030072";2;Piso;{9ABD54B5-33FC-44E2-BD31-7E30D7C0AED8};"634010100000000130039000000000";A;update_Caso 11
{F8D4418F-AC7F-4DA4-A229-748C83D43C01};2;2010,0000;60,0000;;A;"5119593";"6035895";1;Piso;{6351E7DD-EC9F-4002-B8A7-3CC173F30321};"634010100000003190023000000000";A;update_Caso 1
{F8D93A35-85A6-41CD-A849-877198B7D82D};2;2000,0000;32,2000;;B;"21042223";"6037241";1;Piso;{CE187FDC-9E38-43A5-A8D5-16B5C3DC98DE};"634010100000004100007000000000";B;update_Caso 1
{F8DD820B-8529-4476-86FE-D19071C5EA35};2;2014,0000;52,0000;;A;"21062450";"6038705";1;Piso;{879C8EEA-814F-4DB7-A7C2-6F800E9B8339};"634010100000005310026000000000";A;update_Caso 1
{F8DF08E4-8019-4C80-AE77-38A57C5D61B6};2;2018,0000;42,2400;;A;"21093410";"12810846";1;Piso;{66D8EF33-2DEB-4642-BAC0-61156D5361EC};"634010100000004760005906030005";A;update_Caso 3
{F8DF1B01-6AF4-48E8-A033-79EC98CE8B9D};2;1900,0000;111,0000;;C;"5110562";"6028087";1;Piso;{3B61A80C-246E-416C-9978-C7A402ABFEFC};"634010001000000010158000000000";C;update_Caso 1
{F8E086F2-C805-490D-B93D-8077E538D101};2;2010,0000;60,0000;;A;"5119766";"6036124";1;Piso;{122B6480-A5FA-455C-9CBE-4CCEE08AB40B};"634010100000003300004000000000";A;update_Caso 1
{F8E1E7B4-64DB-4E38-8029-DDE30C69BE41};2;2005,0000;49,0000;;H;"5110423";"6028049";1;Piso;{92092FCB-2D80-46E2-9794-901A527E7B48};"634010001000000010055000000000";H;update_Caso 1
{F8E332B3-3FF0-4C4E-87D3-37B2639FD9D0};2;2010,0000;72,0000;;A;"21066193";"6038330";1;Piso;{6B89A385-117A-49F1-967B-2AEC0AAAA77F};"634010100000005060009000000000";A;update_Caso 1
{F8E6B34F-0DAA-4F11-AB06-BDF20D50CF41};2;2000,0000;55,4900;;A;"5113617";"6030102";1;Piso;{D6D7F973-1EF8-4D14-9026-839905C2DE02};"634010100000000150023000000000";A;update_Caso 1
{F8E700AC-F18C-458A-BC16-F11E104BE23F};2;2012,0000;195,9750;;"";Dummy;"6029135";1;Piso;{C6CC2416-AE76-4864-A650-15CCBDAE1193};"634010001000000040334000000000";A;update_Caso 12
{F8ED8B59-3BDD-4F9F-AB99-1E4734B32F29};2;1965,0000;29,2800;;C;"21062845";"6030970";1;Piso;{EDEB7BE5-D8AD-4360-A84B-0EFF3D27A162};"634010100000000390015000000000";C;update_Caso 5
{F8F11FFE-9DD0-43A2-BA66-BF824D459F5C};2;2005,0000;51,0000;;D;"5110797";"6028293";0;Piso;{9CAB110C-D273-49E5-A20F-EAAD7BA3077D};"634010001000000010801800000390";D;update_Caso 3
{F8F60526-CD50-44C2-BC5E-D23555E3D2F2};2;2000,0000;61,5000;;A;"5121184";"6037580";1;Piso;{64DBBFBB-B4F2-4874-90E2-DC5A0D5EEB4C};"634010100000004340004000000000";A;update_Caso 1
{F8FA7E5D-1B4C-4AF8-AFE8-F42E8516204C};2;1997,0000;34,0000;;B;"5112048";"6028931";1;Piso;{AE626914-DDE0-45FE-8C45-75E9C2172693};"634010001000000040131000000000";B;update_Caso 1
