"objectid";"id_operacion";"id";"folio_matriz";"novedadfmi_tipo";"npnmatriz";"novedad_numero_predial";"folio_derivados";"predio tipo";"condicion prop derivado";"árearegistralm2";"coeficiente";"área coefieciente";"count"
1638141;L3_R1592;1592;"095-155132";;SIN NPN;Desenglobe_Division_Material;"095-159890";Privado_Privado;PH_Unidad_Predial;"115.3";20.843;115.3;1
1638339;L3_R1563;1563;"095-38148";;"157590101000002120019000000000";Desenglobe_Division_Material;"095-160002";Privado_Privado;PH_Unidad_Predial;"167.08";41.49;167.08;1
1638340;L3_R1564;1564;"095-38148";;"157590101000002120019000000000";Desenglobe_Division_Material;"095-160003";Privado_Privado;PH_Unidad_Predial;"235.59";58.51;235.59;1
1634939;"1809951-1053";1052;"095-62925";;"157590102000001140072000000000";Englobe_Nuevo_FMI;"095-160292";Privado_Privado;NPH;"430.74";;;1
1634939;"1809951-1053";1053;"095-62924";;"157590102000001140071000000000";Englobe_Nuevo_FMI;"095-160292";Privado_Privado;NPH;"430.74";;;1
1638186;L3_-1167R1164;1164;"095-159339";;SIN NPN;Desenglobe_Division_Material;"095-160882";Privado_Privado;NPH;"143.65";;;1
1638185;L3_-1167R1166;1166;"095-159339";;SIN NPN;Desenglobe_Division_Material;"095-160883";Privado_Privado;NPH;"145.1";;;1
1638184;L3_-1167R1165;1165;"095-159339";;SIN NPN;Desenglobe_Division_Material;"095-160884";Privado_Privado;NPH;"182.4";;;1
1638181;L3_-1163R1160;1160;"095-159338";;SIN NPN;Desenglobe_Division_Material;"095-160889";Privado_Privado;NPH;"184";;;1
1638183;L3_-1163R1161;1161;"095-159338";;SIN NPN;Desenglobe_Division_Material;"095-160890";Privado_Privado;NPH;"144";;;1
1638182;L3_-1163R1162;1162;"095-159338";;SIN NPN;Desenglobe_Division_Material;"095-160891";Privado_Privado;NPH;"142";;;1
1638332;"1805885R1556";1556;"095-17484";;"157590102000000390022000000000";Desenglobe_Division_Material;"095-161443";Privado_Privado;NPH;"211.94";;;1
1634880;L3_-1560;1555;"095-17484";;"157590102000000390022000000000";Desenglobe_Division_Material;"095-161444";Privado_Privado;NPH;"271.72";;;1
1634880;L3_-1560;1560;"095-161444";;SIN NPN;Cancelacion_por_Englobe;;;;;;;1
1634926;"1805884-1559";1559;"095-107086";;"157590102000000390021000000000";Englobe_Nuevo_FMI;"095-161445";Privado_Privado;NPH;"805.72";;;1
1634926;"1805884-1559";1558;"095-161444";;SIN NPN;Englobe_Nuevo_FMI;"095-161445";Privado_Privado;NPH;"805.72";;;1
1638134;"13516062R1013";1013;"095-146577";;"157590101000008280040000000000";Desenglobe_Division_Material;"095-161446";Privado_Privado;NPH;"128.28";;;1
1634872;L3_-1018;1014;"095-146577";;"157590101000008280040000000000";Desenglobe_Division_Material;"095-161447";Privado_Privado;NPH;"11.96";;;1
1634872;L3_-1018;1018;"095-161447";;SIN NPN;Cancelacion_por_Englobe;;;;;;;1
1634934;"1804065-1017";1020;"095-161448";;SIN NPN;Cambio_Numero_Predial_NPH_a_PH;"095-161448";Privado_Privado;PH_Matriz;"262.96";;;1
1634934;"1804065-1017";1017;"095-112498";;"157590101000008280032000000000";Englobe_Nuevo_FMI;"095-161448";Privado_Privado;NPH;"262.96";;;1
1634934;"1804065-1017";1016;"095-161447";;SIN NPN;Englobe_Nuevo_FMI;"095-161448";Privado_Privado;NPH;"262.96";;;1
